EID,Abstract,Year,Title
2-s2.0-85099408752,https://www.scopus.com/record/display.url?eid=2-s2.0-85099408752&origin=resultslist,2021,MnO<sub>2</sub>-Based Materials for Environmental Applications
2-s2.0-85082509229,https://www.scopus.com/record/display.url?eid=2-s2.0-85082509229&origin=resultslist,2020,Characterizing the Propagation of Situational Information in Social Media during COVID-19 Epidemic: A Case Study on Weibo
2-s2.0-85105893351,https://www.scopus.com/record/display.url?eid=2-s2.0-85105893351&origin=resultslist,2021,Underwater Image Enhancement via Medium Transmission-Guided Multi-Color Space Embedding
2-s2.0-85083689492,https://www.scopus.com/record/display.url?eid=2-s2.0-85083689492&origin=resultslist,2020,"Recent Progress of Heterojunction Ultraviolet Photodetectors: Materials, Integrations, and Applications"
2-s2.0-85084300363,https://www.scopus.com/record/display.url?eid=2-s2.0-85084300363&origin=resultslist,2020,From fidelity to perceptual quality: A semi-supervised approach for low-light image enhancement
2-s2.0-85138457469,https://www.scopus.com/record/display.url?eid=2-s2.0-85138457469&origin=resultslist,2023,Heterostructured materials
2-s2.0-85090949428,https://www.scopus.com/record/display.url?eid=2-s2.0-85090949428&origin=resultslist,2021,Superhydrophobic and breathable smart MXene-based textile for multifunctional wearable sensing electronics
2-s2.0-85084531540,https://www.scopus.com/record/display.url?eid=2-s2.0-85084531540&origin=resultslist,2020,Hydrogen-Substituted Graphdiyne Ion Tunnels Directing Concentration Redistribution for Commercial-Grade Dendrite-Free Zinc Anodes
2-s2.0-85098757649,https://www.scopus.com/record/display.url?eid=2-s2.0-85098757649&origin=resultslist,2022,Image Quality Assessment: Unifying Structure and Texture Similarity
2-s2.0-85074855660,https://www.scopus.com/record/display.url?eid=2-s2.0-85074855660&origin=resultslist,2020,A Novel Double-Crosslinking-Double-Network Design for Injectable Hydrogels with Enhanced Tissue Adhesion and Antibacterial Capability for Wound Treatment
2-s2.0-85082320426,https://www.scopus.com/record/display.url?eid=2-s2.0-85082320426&origin=resultslist,2020,Zwitterionic Sulfobetaine Hydrogel Electrolyte Building Separated Positive/Negative Ion Migration Channels for Aqueous Zn-MnO<sub>2</sub> Batteries with Superior Rate Capabilities
2-s2.0-85088175819,https://www.scopus.com/record/display.url?eid=2-s2.0-85088175819&origin=resultslist,2020,Covalency competition dominates the water oxidation structure–activity relationship on spinel oxides
2-s2.0-85094114118,https://www.scopus.com/record/display.url?eid=2-s2.0-85094114118&origin=resultslist,2020,Model Adaptation: Unsupervised Domain Adaptation without Source Data
2-s2.0-85093934285,https://www.scopus.com/record/display.url?eid=2-s2.0-85093934285&origin=resultslist,2021,Mn−O Covalency Governs the Intrinsic Activity of Co-Mn Spinel Oxides for Boosted Peroxymonosulfate Activation
2-s2.0-85084613917,https://www.scopus.com/record/display.url?eid=2-s2.0-85084613917&origin=resultslist,2020,Dual heterogeneous structures lead to ultrahigh strength and uniform ductility in a Co-Cr-Ni medium-entropy alloy
2-s2.0-85081641815,https://www.scopus.com/record/display.url?eid=2-s2.0-85081641815&origin=resultslist,2020,A Review on Challenges of Autonomous Mobile Robot and Sensor Fusion Methods
2-s2.0-85104016668,https://www.scopus.com/record/display.url?eid=2-s2.0-85104016668&origin=resultslist,2021,Fuzzy Adaptive Finite-Time Fault-Tolerant Control for Strict-Feedback Nonlinear Systems
2-s2.0-85086310008,https://www.scopus.com/record/display.url?eid=2-s2.0-85086310008&origin=resultslist,2020,Image and Video Compression with Neural Networks: A Review
2-s2.0-85096359506,https://www.scopus.com/record/display.url?eid=2-s2.0-85096359506&origin=resultslist,2020,Strain engineering of 2D semiconductors and graphene: from strain fields to band-structure tuning and photonic applications
2-s2.0-85087033400,https://www.scopus.com/record/display.url?eid=2-s2.0-85087033400&origin=resultslist,2020,Overcoming the energy gap law in near-infrared OLEDs by exciton–vibration decoupling
2-s2.0-85097259985,https://www.scopus.com/record/display.url?eid=2-s2.0-85097259985&origin=resultslist,2020,Ultrahigh strength and ductility in newly developed materials with coherent nanolamellar architectures
2-s2.0-85092526596,https://www.scopus.com/record/display.url?eid=2-s2.0-85092526596&origin=resultslist,2021,Non-metallic charge carriers for aqueous batteries
2-s2.0-85092468339,https://www.scopus.com/record/display.url?eid=2-s2.0-85092468339&origin=resultslist,2020,D3Feat: Joint learning of dense detection and description of 3D local features
2-s2.0-85077940691,https://www.scopus.com/record/display.url?eid=2-s2.0-85077940691&origin=resultslist,2020,Elastic straining of free-standing monolayer graphene
2-s2.0-85115187341,https://www.scopus.com/record/display.url?eid=2-s2.0-85115187341&origin=resultslist,2021,Three-dimensional capillary ratchet-induced liquid directional steering
2-s2.0-85122836765,https://www.scopus.com/record/display.url?eid=2-s2.0-85122836765&origin=resultslist,2022,Insight on Organic Molecules in Aqueous Zn-Ion Batteries with an Emphasis on the Zn Anode Regulation
2-s2.0-85106960716,https://www.scopus.com/record/display.url?eid=2-s2.0-85106960716&origin=resultslist,2021,To walk or not to walk? Examining non-linear effects of streetscape greenery on walking propensity of older adults
2-s2.0-85087148576,https://www.scopus.com/record/display.url?eid=2-s2.0-85087148576&origin=resultslist,2020,2D Metal–Organic Frameworks (MOFs) for High-Performance BatCap Hybrid Devices
2-s2.0-85094315513,https://www.scopus.com/record/display.url?eid=2-s2.0-85094315513&origin=resultslist,2020,Learning to restore low-light images via decomposition-and-enhancement
2-s2.0-85131745333,https://www.scopus.com/record/display.url?eid=2-s2.0-85131745333&origin=resultslist,2022,Underwater Image Enhancement via Minimal Color Loss and Locally Adaptive Contrast Enhancement
2-s2.0-85110855981,https://www.scopus.com/record/display.url?eid=2-s2.0-85110855981&origin=resultslist,2021,Pd doping-weakened intermediate adsorption to promote electrocatalytic nitrate reduction on TiO<sub>2</sub>nanoarrays for ammonia production and energy supply with zinc-nitrate batteries
2-s2.0-85138200851,https://www.scopus.com/record/display.url?eid=2-s2.0-85138200851&origin=resultslist,2022,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers
2-s2.0-85088024143,https://www.scopus.com/record/display.url?eid=2-s2.0-85088024143&origin=resultslist,2020,Recent Progress in Stimulus-Responsive Two-Dimensional Metal-Organic Frameworks
2-s2.0-85085313451,https://www.scopus.com/record/display.url?eid=2-s2.0-85085313451&origin=resultslist,2020,Ultra-dense optical data transmission over standard fibre with a single chip source
2-s2.0-85091225689,https://www.scopus.com/record/display.url?eid=2-s2.0-85091225689&origin=resultslist,2020,Thermal conductivity of graphene-based polymer nanocomposites
2-s2.0-85078153835,https://www.scopus.com/record/display.url?eid=2-s2.0-85078153835&origin=resultslist,2020,Ultrabroadband nonlinear optics in nanophotonic periodically poled lithium niobate waveguides
2-s2.0-85079022782,https://www.scopus.com/record/display.url?eid=2-s2.0-85079022782&origin=resultslist,2020,"An Overview of Fiber-Shaped Batteries with a Focus on Multifunctionality, Scalability, and Technical Difficulties"
2-s2.0-85083849812,https://www.scopus.com/record/display.url?eid=2-s2.0-85083849812&origin=resultslist,2020,Ultrafast Luminescent Light-Up Guest Detection Based on the Lock of the Host Molecular Vibration
2-s2.0-85091594467,https://www.scopus.com/record/display.url?eid=2-s2.0-85091594467&origin=resultslist,2020,Self-Reporting and Photothermally Enhanced Rapid Bacterial Killing on a Laser-Induced Graphene Mask
2-s2.0-85084786871,https://www.scopus.com/record/display.url?eid=2-s2.0-85084786871&origin=resultslist,2020,Flexible and stretchable metal oxide nanofiber networks for multimodal and monolithically integrated wearable electronics
2-s2.0-85077493453,https://www.scopus.com/record/display.url?eid=2-s2.0-85077493453&origin=resultslist,2020,"A ""pDMS-in-water"" emulsion enables mechanochemically robust superhydrophobic surfaces with self-healing nature"
2-s2.0-85102661411,https://www.scopus.com/record/display.url?eid=2-s2.0-85102661411&origin=resultslist,2021,Soft magnetic skin for super-resolution tactile sensing with force self-decoupling
2-s2.0-85102964438,https://www.scopus.com/record/display.url?eid=2-s2.0-85102964438&origin=resultslist,2021,Silicate-Enhanced Heterogeneous Flow-Through Electro-Fenton System Using Iron Oxides under Nanoconfinement
2-s2.0-85128678328,https://www.scopus.com/record/display.url?eid=2-s2.0-85128678328&origin=resultslist,2022,Activating lattice oxygen in NiFe-based (oxy)hydroxide for water electrolysis
2-s2.0-85099658747,https://www.scopus.com/record/display.url?eid=2-s2.0-85099658747&origin=resultslist,2021,"Dopamine-Triggered Hydrogels with High Transparency, Self-Adhesion, and Thermoresponse as Skinlike Sensors"
2-s2.0-85078828835,https://www.scopus.com/record/display.url?eid=2-s2.0-85078828835&origin=resultslist,2020,A General Method for Transition Metal Single Atoms Anchored on Honeycomb-Like Nitrogen-Doped Carbon Nanosheets
2-s2.0-85130741631,https://www.scopus.com/record/display.url?eid=2-s2.0-85130741631&origin=resultslist,2022,Flexible polystyrene/graphene composites with epsilon-near-zero properties
2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,2020,Learning graph embedding with adversarial training methods
2-s2.0-85092899420,https://www.scopus.com/record/display.url?eid=2-s2.0-85092899420&origin=resultslist,2021,ASIF-Net: Attention Steered Interweave Fusion Network for RGB-D Salient Object Detection
2-s2.0-85098777224,https://www.scopus.com/record/display.url?eid=2-s2.0-85098777224&origin=resultslist,2021,Grain size effect on tensile properties and slip systems of pure magnesium
2-s2.0-85097400724,https://www.scopus.com/record/display.url?eid=2-s2.0-85097400724&origin=resultslist,2021,Prediction With Multicross Component for Future Video Coding
2-s2.0-85104250272,https://www.scopus.com/record/display.url?eid=2-s2.0-85104250272&origin=resultslist,2021,High-performance large-area quasi-2D perovskite light-emitting diodes
2-s2.0-85095700061,https://www.scopus.com/record/display.url?eid=2-s2.0-85095700061&origin=resultslist,2020,Suppression of Mainbeam Deceptive Jammer with FDA-MIMO Radar
2-s2.0-85073281564,https://www.scopus.com/record/display.url?eid=2-s2.0-85073281564&origin=resultslist,2020,MXene/chitosan nanocoating for flexible polyurethane foam towards remarkable fire hazards reductions
2-s2.0-85088201406,https://www.scopus.com/record/display.url?eid=2-s2.0-85088201406&origin=resultslist,2020,Distributed Secure Cooperative Control under Denial-of-Service Attacks from Multiple Adversaries
2-s2.0-85099226271,https://www.scopus.com/record/display.url?eid=2-s2.0-85099226271&origin=resultslist,2021,Skin-Inspired Piezoelectric Tactile Sensor Array with Crosstalk-Free Row+Column Electrodes for Spatiotemporally Distinguishing Diverse Stimuli
2-s2.0-85075519755,https://www.scopus.com/record/display.url?eid=2-s2.0-85075519755&origin=resultslist,2020,Corrosion resistant nanostructured eutectic high entropy alloy
2-s2.0-85079607136,https://www.scopus.com/record/display.url?eid=2-s2.0-85079607136&origin=resultslist,2020,Surface plasmon resonance (SPR) infrared sensor based on D-shape photonic crystal fibers with ITO coatings
2-s2.0-85116524246,https://www.scopus.com/record/display.url?eid=2-s2.0-85116524246&origin=resultslist,2021,Single Image Deraining: From Model-Based to Data-Driven and beyond
2-s2.0-85083002886,https://www.scopus.com/record/display.url?eid=2-s2.0-85083002886&origin=resultslist,2020,Initiating Hexagonal MoO<sub>3</sub> for Superb-Stable and Fast NH<sub>4</sub>                             <sup>+</sup> Storage Based on Hydrogen Bond Chemistry
2-s2.0-85099730561,https://www.scopus.com/record/display.url?eid=2-s2.0-85099730561&origin=resultslist,2021,Sparse Gradient Regularized Deep Retinex Network for Robust Low-Light Image Enhancement
2-s2.0-85099664177,https://www.scopus.com/record/display.url?eid=2-s2.0-85099664177&origin=resultslist,2021,Halogenated Ti<sub>3</sub>C<sub>2</sub>MXenes with Electrochemically Active Terminals for High-Performance Zinc Ion Batteries
2-s2.0-85094324334,https://www.scopus.com/record/display.url?eid=2-s2.0-85094324334&origin=resultslist,2020,Perceptual quality assessment of smartphone photography
2-s2.0-85085295377,https://www.scopus.com/record/display.url?eid=2-s2.0-85085295377&origin=resultslist,2020,Nanostructural metallic materials: Structures and mechanical properties
2-s2.0-85089730557,https://www.scopus.com/record/display.url?eid=2-s2.0-85089730557&origin=resultslist,2020,Tip-induced flipping of droplets on Janus pillars: From local reconfiguration to global transport
2-s2.0-85086717269,https://www.scopus.com/record/display.url?eid=2-s2.0-85086717269&origin=resultslist,2020,Core–Shell Structured Nanoenergetic Materials: Preparation and Fundamental Properties
2-s2.0-85102286415,https://www.scopus.com/record/display.url?eid=2-s2.0-85102286415&origin=resultslist,2021,Uncertainty-Aware Blind Image Quality Assessment in the Laboratory and Wild
2-s2.0-85089684836,https://www.scopus.com/record/display.url?eid=2-s2.0-85089684836&origin=resultslist,2020,Morphology regulation of metal-organic framework-derived nanostructures for efficient oxygen evolution electrocatalysis
2-s2.0-85081645498,https://www.scopus.com/record/display.url?eid=2-s2.0-85081645498&origin=resultslist,2020,An integrated approach to automatic pixel-level crack detection and quantification of asphalt pavement
2-s2.0-85082736453,https://www.scopus.com/record/display.url?eid=2-s2.0-85082736453&origin=resultslist,2020,Cooperative deformation in high-entropy alloys at ultralow temperatures
2-s2.0-85089733299,https://www.scopus.com/record/display.url?eid=2-s2.0-85089733299&origin=resultslist,2020,Intercalation and exfoliation chemistries of transition metal dichalcogenides
2-s2.0-85097941462,https://www.scopus.com/record/display.url?eid=2-s2.0-85097941462&origin=resultslist,2021,Dense Attention Fluid Network for Salient Object Detection in Optical Remote Sensing Images
2-s2.0-85087111197,https://www.scopus.com/record/display.url?eid=2-s2.0-85087111197&origin=resultslist,2020,Conjugated porous polymers: Incredibly versatile materials with far-reaching applications
2-s2.0-85116537453,https://www.scopus.com/record/display.url?eid=2-s2.0-85116537453&origin=resultslist,2021,Defect-Rich Hierarchical Porous UiO-66(Zr) for Tunable Phosphate Removal
2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,2022,URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement
2-s2.0-85114093270,https://www.scopus.com/record/display.url?eid=2-s2.0-85114093270&origin=resultslist,2021,ZnIn<sub>2</sub>S<sub>4</sub>-Based Photocatalysts for Energy and Environmental Applications
2-s2.0-85064704140,https://www.scopus.com/record/display.url?eid=2-s2.0-85064704140&origin=resultslist,2020,Automatic Niching Differential Evolution with Contour Prediction Approach for Multimodal Optimization Problems
2-s2.0-85074681666,https://www.scopus.com/record/display.url?eid=2-s2.0-85074681666&origin=resultslist,2020,The recent progress of functionally graded CNT reinforced composites and structures
2-s2.0-85093092199,https://www.scopus.com/record/display.url?eid=2-s2.0-85093092199&origin=resultslist,2020,Creating MXene/reduced graphene oxide hybrid towards highly fire safe thermoplastic polyurethane nanocomposites
2-s2.0-85104940722,https://www.scopus.com/record/display.url?eid=2-s2.0-85104940722&origin=resultslist,2021,Graphitic carbon nitride-based materials for photocatalytic antibacterial application
2-s2.0-85112675653,https://www.scopus.com/record/display.url?eid=2-s2.0-85112675653&origin=resultslist,2021,Simultaneously enhancing the ultimate strength and ductility of high-entropy alloys via short-range ordering
2-s2.0-85087210206,https://www.scopus.com/record/display.url?eid=2-s2.0-85087210206&origin=resultslist,2020,Solvothermal synthesis of copper-doped BiOBr microflowers with enhanced adsorption and visible-light driven photocatalytic degradation of norfloxacin
2-s2.0-85078980714,https://www.scopus.com/record/display.url?eid=2-s2.0-85078980714&origin=resultslist,2020,Emerging Frontiers of Upconversion Nanoparticles
2-s2.0-85123073224,https://www.scopus.com/record/display.url?eid=2-s2.0-85123073224&origin=resultslist,2023,A Geometric Criterion for the Existence of Chaos Based on Periodic Orbits in Continuous-Time Autonomous Systems
